,,,dt,,CTE,,angle,,,,,
step,195, dt,0.31343, cte,-0.401, steer angle,0.4241, steer setpt,0.45456, steer cmd,0.00064, 
step,196, dt,0.01246, cte,-0.3945, steer angle,0.4426, steer setpt,0.37605, steer cmd,-0.00114, 
step,197, dt,0.31281, cte,-0.3928, steer angle,0.4523, steer setpt,0.36652, steer cmd,-0.00231, 
step,198, dt,0.01073, cte,-0.3485, steer angle,0.4079, steer setpt,-0.17571, steer cmd,-0.01483, 
step,199, dt,0.0125, cte,-0.3424, steer angle,0.3786, steer setpt,-0.26869, steer cmd,-0.02348, 
step,200, dt,0.31407, cte,-0.3424, steer angle,0.3786, steer setpt,-0.27938, steer cmd,-0.03277, 
step,201, dt,0.012, cte,-0.1226, steer angle,-0.1506, steer setpt,-2.89304, steer cmd,-0.08962, 
step,202, dt,0.01296, cte,-0.1073, steer angle,-0.383, steer setpt,-3.15533, steer cmd,-0.12466, 
step,203, dt,0.01403, cte,-0.1073, steer angle,-0.383, steer setpt,-2.71835, steer cmd,-0.15399, 
step,204, dt,0.31523, cte,-0.0927, steer angle,-2.6801, steer setpt,-2.90983, steer cmd,-0.14011, 
step,205, dt,0.01044, cte,0.0027, steer angle,-3.4135, steer setpt,-4.16658, steer cmd,-0.15994, 
step,206, dt,0.01182, cte,0.0027, steer angle,-3.4135, steer setpt,-1.61702, steer cmd,-0.11135, 
step,207, dt,0.01108, cte,-0.0006, steer angle,-3.5621, steer setpt,-1.43716, steer cmd,-0.08396, 
step,208, dt,0.01451, cte,-0.0006, steer angle,-3.5621, steer setpt,-1.47766, steer cmd,-0.05543, 
step,209, dt,0.01378, cte,-0.0046, steer angle,-1.6627, steer setpt,-1.29191, steer cmd,-0.06481, 
step,210, dt,0.01244, cte,-0.0091, steer angle,-0.9495, steer setpt,-0.10747, steer cmd,-0.04504, 
step,211, dt,0.01423, cte,-0.0142, steer angle,-1.184, steer setpt,-0.04054, steer cmd,-0.02724, 
step,212, dt,0.01306, cte,-0.0142, steer angle,-1.184, steer setpt,-0.074, steer cmd,-0.01243, 
step,213, dt,0.31358, cte,-0.0196, steer angle,-0.2447, steer setpt,-0.00251, steer cmd,-0.01638, 
step,214, dt,0.00994, cte,-0.1188, steer angle,0.1255, steer setpt,1.16692, steer cmd,0.00719, 
step,215, dt,0.01373, cte,-0.1262, steer angle,0.0268, steer setpt,1.24816, steer cmd,0.02432, 
step,216, dt,0.01139, cte,-0.1336, steer angle,0.6161, steer setpt,1.32398, steer cmd,0.02956, 
